epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2475.57,1.04232,1.97933,1.39566,0.5511,0.29805,0.24617,0.19217,0.79868,1.158,1.24773,0.00333308,0.00333308,0.00333308
2,4831.8,0.95727,1.55832,1.3154,0.50026,0.32154,0.27474,0.21942,0.76199,1.08842,1.20972,0.00650142,0.00650142,0.00650142
3,7169.32,0.97474,1.57917,1.32542,0.58014,0.2881,0.2673,0.2142,0.77105,1.21312,1.2464,0.00950476,0.00950476,0.00950476
4,9494.2,0.95034,1.54012,1.30631,0.65492,0.10547,0.16922,0.13016,0.97273,2.08017,1.62532,0.0092575,0.0092575,0.0092575
5,11810.2,0.90598,1.46342,1.27723,0.43309,0.17992,0.13626,0.10298,1.08284,2.4918,1.78592,0.00901,0.00901,0.00901
6,14132.8,0.88456,1.42424,1.26239,0.62754,0.14188,0.18415,0.14302,0.94816,1.9098,1.57948,0.0087625,0.0087625,0.0087625
7,16453.7,0.87071,1.39863,1.25366,0.58391,0.23047,0.23867,0.1901,0.8267,1.43936,1.37569,0.008515,0.008515,0.008515
8,18778.8,0.86174,1.38094,1.24658,0.52956,0.29033,0.27707,0.22455,0.75895,1.20814,1.25921,0.0082675,0.0082675,0.0082675
9,21103.2,0.85385,1.36599,1.2424,0.52616,0.32428,0.30067,0.24583,0.72701,1.09538,1.19914,0.00802,0.00802,0.00802
10,23423.6,0.84914,1.35631,1.23965,0.5501,0.347,0.31806,0.26164,0.71004,1.03519,1.16694,0.0077725,0.0077725,0.0077725
11,25744.1,0.84121,1.34592,1.23372,0.55435,0.35629,0.33131,0.27344,0.7005,0.99982,1.14913,0.007525,0.007525,0.007525
12,28068.8,0.83788,1.33626,1.23118,0.55487,0.36359,0.33977,0.28112,0.69501,0.97944,1.13915,0.0072775,0.0072775,0.0072775
13,30390.4,0.8332,1.32697,1.22804,0.5415,0.37874,0.34641,0.28728,0.69113,0.96644,1.13264,0.00703,0.00703,0.00703
14,32713.4,0.83024,1.32388,1.22731,0.50567,0.38774,0.35303,0.29311,0.6876,0.95717,1.12777,0.0067825,0.0067825,0.0067825
15,35046.5,0.82517,1.31285,1.22353,0.51158,0.3932,0.35791,0.29749,0.68531,0.95029,1.12441,0.006535,0.006535,0.006535
16,37379,0.82049,1.30519,1.22031,0.53896,0.39823,0.3635,0.30211,0.68327,0.94455,1.1217,0.0062875,0.0062875,0.0062875
17,39763.6,0.81833,1.29778,1.21836,0.54408,0.39815,0.36748,0.30577,0.68095,0.93941,1.11926,0.00604,0.00604,0.00604
18,42205.2,0.81664,1.29108,1.21674,0.54177,0.39958,0.37192,0.30971,0.67878,0.93501,1.11661,0.0057925,0.0057925,0.0057925
19,44614.9,0.8124,1.28286,1.21401,0.53574,0.40373,0.37504,0.3124,0.67692,0.93085,1.11452,0.005545,0.005545,0.005545
20,46950.2,0.80809,1.27823,1.21158,0.53494,0.40682,0.37867,0.31561,0.67537,0.92696,1.11256,0.0052975,0.0052975,0.0052975
21,49378.4,0.80372,1.27258,1.20933,0.51269,0.41776,0.38279,0.3191,0.67365,0.92343,1.11051,0.00505,0.00505,0.00505
22,51715.3,0.80025,1.26501,1.20665,0.51836,0.41446,0.38584,0.3215,0.67185,0.91985,1.10823,0.0048025,0.0048025,0.0048025
23,54046.5,0.79715,1.25377,1.205,0.51007,0.42914,0.3889,0.32456,0.67018,0.91635,1.10637,0.004555,0.004555,0.004555
24,56374.4,0.79181,1.24781,1.20169,0.5238,0.4226,0.39374,0.32894,0.66834,0.91336,1.10442,0.0043075,0.0043075,0.0043075
25,58701.8,0.78871,1.241,1.20003,0.53385,0.42212,0.39724,0.33198,0.66666,0.91006,1.1028,0.00406,0.00406,0.00406
26,61022,0.78564,1.2322,1.1981,0.52204,0.426,0.40125,0.33559,0.6654,0.90688,1.10156,0.0038125,0.0038125,0.0038125
27,63340.2,0.78122,1.22208,1.19465,0.52153,0.42479,0.40379,0.33807,0.66384,0.90404,1.09963,0.003565,0.003565,0.003565
28,65663.2,0.77556,1.21675,1.19209,0.50618,0.44232,0.40483,0.33937,0.66216,0.90073,1.09759,0.0033175,0.0033175,0.0033175
29,67983.2,0.77187,1.20685,1.18965,0.47744,0.45159,0.40805,0.34218,0.66134,0.89789,1.09642,0.00307,0.00307,0.00307
30,70303.7,0.76612,1.19898,1.18553,0.49597,0.44243,0.41213,0.34659,0.65974,0.89498,1.09465,0.0028225,0.0028225,0.0028225
